2015-11-12 09:07:56 (CST)      could not find driver C:\Apache24\htdocs\Proyecto7\libs\DBConexion.php 22

2015-11-12 09:08:40 (CST)      could not find driver C:\Apache24\htdocs\Proyecto7\libs\DBConexion.php 22

2015-11-12 09:09:11 (CST)      could not find driver C:\Apache24\htdocs\Proyecto7\libs\DBConexion.php 22

2015-11-12 09:09:24 (CST)      could not find driver C:\Apache24\htdocs\Proyecto7\libs\DBConexion.php 22

2015-11-12 09:38:13 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:38:13 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:38:13 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:38:15 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:38:15 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:38:15 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:09 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:45:09 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:09 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:10 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:45:11 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:45:11 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

